BANC,FAFB,MANC
720575941671658407,720575940623122125,26767
720575941687586316,720575940654227105,11355
720575941404711792,720575940614236200,15597
720575941546634428,720575940610472146,27279
720575941594823537,720575940626009852,11974
720575941496696263,720575940631309866,27771
720575941552013055,720575940622264444,152278
720575941403931248,720575940627663100,15831
720575941559874831,720575940629757036,12358
720575941534999896,720575940618238635,13375
720575941557316004,720575940609260494,11824
720575941466194454,720575940604954289,12482
720575941467350237,720575940627538434,16706
720575941515152195,720575940630425083,13502
720575941568894202,720575940614137907,167413
720575941592925992,720575940634903915,13801
720575941576343222,720575940614668347,16373
720575941495055486,720575940620561840,26854
720575941411212715,720575940609948514,14820
720575941483679674,720575940628971779,17995
720575941526723940,720575940623925173,20432
720575941456506015,720575940615505406,17782
720575941483701178,720575940630221509,15099
720575941486575426,720575940626092302,15155
720575941580602869,720575940619273398,13189
720575941578730841,720575940635527092,13531
720575941545312005,720575940631225996,11012
720575941631976864,720575940619373703,28942
720575941471454583,720575940608735241,12934
720575941466022422,720575940631505711,12171
720575941537703144,720575940624082931,15451
720575941562217517,720575940645176264,19452
720575941504687810,720575940623274966,28004
720575941430142089,720575940628680177,11876
720575941596240241,720575940614438685,12442
720575941558807411,720575940616400470,16369
720575941506304828,720575940622276744,14654
720575941431747086,720575940623426854,19010
720575941432255959,720575940620859630,27350
720575941515909635,720575940623497653,12293
720575941564504832,720575940628869648,27523
720575941472609632,720575940631844300,14443
720575941448026388,720575940630107855,16256
720575941495736448,720575940626404429,12702
720575941507049239,720575940654094241,30043
720575941690766555,720575940621801456,18636
720575941466964566,720575940621947653,33554
720575941626282634,720575940627419676,24959
720575941573054646,720575940614128593,24698
720575941474665514,720575940617035153,29983
720575941435997984,720575940612206810,28048
720575941537583331,720575940637434202,16871
720575941439550271,720575940623804260,16311
720575941655820244,720575940634229871,16571
720575941550401086,720575940637530084,26426
720575941527078681,720575940626953049,23163
720575941552229887,720575940622779076,15988
720575941612425190,720575940639429504,15121
720575941569581170,720575940614976662,16026
720575941442861482,720575940610091955,26285
720575941503680087,720575940634615288,18347
720575941505673566,720575940628582607,18765
720575941639531125,720575940627699599,16261
720575941436313888,720575940637612974,24978
720575941568835834,720575940633816986,14187
720575941586648198,720575940604891360,25405
720575941572620446,720575940634163682,21756
720575941535167320,720575940631469452,31885
720575941437425964,720575940628115561,101049
720575941436052768,720575940627003179,26242
720575941579793909,720575940632161311,16648
720575941556199652,720575940618086535,30685
720575941653538065,720575940626663187,21254
720575941558298660,720575940627718444,23001
720575941557512307,720575940631987364,26720
720575941445707284,720575940640142141,13085
720575941486574598,720575940627850622,24845
720575941555160986,720575940628744023,24344
720575941598492457,720575940622347784,35789
720575941665097203,720575940631124076,32317
720575941428310100,720575940624305812,53202877530
720575941456504560,720575940628800207,28303
720575941574946299,720575940625080197,16752
720575941554888676,720575940611498419,36489
720575941438669653,720575940627558082,22478
720575941476632385,720575940612804862,26979
720575941412103535,720575940628797608,31120
720575941568305658,720575940628361554,28289
720575941515077699,720575940618519454,31635
720575941536037362,720575940615133789,48534
720575941511336402,720575940621325034,18852
720575941477006388,720575940622836970,45618
720575941499077089,720575940624121161,30130
720575941502628695,720575940623431351,10323
720575941524168011,720575940617662438,24310
720575941540257741,720575940608145026,32388
720575941563622759,720575940615677090,44959
720575941572659870,720575940630780589,14500
720575941590752396,720575940626760600,22345
