BANC,FAFB,MANC,root_626,fafb_match,manc_match,super_class,cell_type,sexually_dimorphic,hemilineage,neurotransmitter_predicted,cns_network,fafb_cell_type,manc_cell_type,side
720575941671658407,720575940623122125,26767,720575941671658407,720575940623122125,26767,descending,DNp104,isomorphic,PSp2,acetylcholine,inferior brain,DNp104,DNxn134,
720575941652614129,720575940627139530,10633,720575941652614129,720575940627139530,10633,descending,DNae002,isomorphic,WEDd1,acetylcholine,dorsal VNC,DNae002,DNut060,
720575941527011865,720575940617894429,11592,720575941527011865,720575940617894429,11592,ascending,AN05B023,dimorphic,05B,gaba,leg VNC,AN_AVLP_GNG_10,AN05B023,
720575941573266171,720575940622161366,13804,720575941573266171,720575940622161366,13804,descending,DNge054,isomorphic,putative_primary,gaba,leg VNC,DNge054,DNxl131,
720575941461347027,720575940630808827,13553,720575941461347027,720575940630808827,13553,descending,DNg68,isomorphic,MX12__prim,acetylcholine,abdominal VNC,DNg68,DNg68,right
720575941461494483,720575940639789475,17113,720575941461494483,720575940639789475,17113,descending,DNp64,isomorphic,SMPpv2_dorsal,acetylcholine,abdominal VNC,DNp64,DNp64,
720575941568499502,720575940617245652,12141,720575941568499502,720575940617245652,12141,descending,DNp55,isomorphic,putative_primary,acetylcholine,lateral brain,DNp55,DNp55,
720575941408661934,720575940616274619,17526,720575941408661934,720575940616274619,17526,descending,DNpe026,isomorphic,putative_primary,acetylcholine,posterior brain,DNpe026,DNxn155,
720575941540466381,720575940628498161,12707,720575941540466381,720575940628498161,12707,descending,DNp08,isomorphic,PSp3,glutamate,leg VNC,DNp08,DNp08,
720575941607119725,720575940615671106,12455,720575941607119725,720575940615671106,12455,descending,DNge059,isomorphic,putative_primary,acetylcholine,flange median bundle,DNge059,DNxl116,
720575941687586316,720575940654227105,11355,720575941687586316,720575940654227105,11355,ascending,ANXXX041,isomorphic,,gaba,leg VNC,AN_GNG_64,ANXXX041,
720575941496696263,720575940631309866,27771,720575941496696263,720575940631309866,27771,descending,DNp58,isomorphic,SMPpv2_dorsal,acetylcholine,abdominal VNC,DNp58,DNp58,
720575941552013055,720575940622264444,152278,720575941552013055,720575940622264444,152278,ascending,AN09B009,isomorphic,09B,acetylcholine,leg VNC,AN_GNG_160,AN09B009,
720575941438445330,720575940645693476,13411,720575941438445330,720575940645693476,13411,descending,DNpe032,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNpe032,DNxn175,
720575941408820271,720575940623982323,23682,720575941408820271,720575940623982323,23682,ascending,AN09B004,isomorphic,09B,acetylcholine,leg VNC,AN_multi_95,AN09B004,
720575941435983136,720575940623324395,12548,720575941435983136,720575940623324395,12548,ascending,AN09B012,dimorphic,09B,acetylcholine,left visual,AN_AVLP_PVLP_8,AN09B012,
720575941403931248,720575940627663100,15831,720575941403931248,720575940627663100,15831,ascending,ANXXX092,isomorphic,,acetylcholine,leg VNC,AN_GNG_27,ANXXX092,
720575941688133871,720575940620714150,36718,720575941688133871,720575940620714150,36718,descending,DNge046,isomorphic,LB5__prim,gaba,leg VNC,DNge046,DNfl016,
720575941507894366,720575940628387663,13268,720575941507894366,720575940628387663,13268,descending,DNg69,isomorphic,LB11,acetylcholine,leg VNC,DNg69,DNg69,
720575941466194454,720575940604954289,12482,720575941466194454,720575940604954289,12482,descending,DNp04,isomorphic,SMPpv2_ventral,acetylcholine,lateral brain,DNp04,DNp04,
720575941571547912,720575940621166625,13454,720575941571547912,720575940621166625,13454,ascending,AN06B034,isomorphic,06B,gaba,posterior brain,AN_multi_50,AN06B034,
720575941467350237,720575940627538434,16706,720575941467350237,720575940627538434,16706,descending,DNg79,isomorphic,MD3,acetylcholine,dorsal VNC,DNg79,DNg79,
720575941568894202,720575940614137907,167413,720575941568894202,720575940614137907,167413,descending,DNp104,isomorphic,PSp2,acetylcholine,inferior brain,DNp104,DNxn134,
720575941626032074,720575940625887207,15131,720575941626032074,720575940625887207,15131,descending,DNg95,isomorphic,MX12,acetylcholine,leg VNC,DNg95,DNg95,
720575941523106295,720575940624280066,16926,720575941523106295,720575940624280066,16926,descending,DNg14,isomorphic,putative_primary,acetylcholine,leg VNC,DNg14,DNg14,
720575941595190053,720575940618192694,12566,720575941595190053,720575940618192694,12566,ascending,AN09B013,isomorphic,09B,acetylcholine,abdominal VNC,AN_multi_91,AN09B013,
720575941495055486,720575940620561840,26854,720575941495055486,720575940620561840,26854,descending,DNpe001,isomorphic,putative_primary,acetylcholine,inferior brain,DNpe001,DNxn135,
720575941595295783,720575940625003653,12448,720575941595295783,720575940625003653,12448,ascending,AN01B005,isomorphic,01B,gaba,leg VNC,AN_GNG_SAD_33,AN01B005,
720575941590774924,720575940622461636,12911,720575941590774924,720575940622461636,12911,ascending,ANXXX127,isomorphic,,acetylcholine,leg VNC,AN_multi_79,ANXXX127,
720575941663484028,720575940625002633,13758,720575941663484028,720575940625002633,13758,ascending,AN01B005,isomorphic,01B,gaba,leg VNC,AN_GNG_SAD33,AN01B005,
720575941411212715,720575940609948514,14820,720575941411212715,720575940609948514,14820,descending,DNg32,isomorphic,MX3,acetylcholine,dorsal VNC,DNg32,DNg32,
720575941547229620,720575940626227774,13475,720575941547229620,720575940626227774,13475,ascending,ANXXX170,isomorphic,,acetylcholine,leg VNC,AN_GNG_SAD_30,ANXXX170,
720575941535724522,720575940626672058,20953,720575941535724522,720575940626672058,20953,descending,DNge056,isomorphic,putative_primary,acetylcholine,flange median bundle,DNge056,DNfl033,
720575941578679897,720575940605702944,20799,720575941578679897,720575940605702944,20799,descending,DNpe040,isomorphic,putative_primary,acetylcholine,abdominal VNC,DNpe040,DNxn130,
720575941486575426,720575940626092302,15155,720575941486575426,720575940626092302,15155,descending,DNge082,isomorphic,LB7__prim,acetylcholine,leg VNC,DNge082,DNxl068,
720575941580602869,720575940619273398,13189,720575941580602869,720575940619273398,13189,ascending,AN12B017,isomorphic,12B,gaba,leg VNC,AN_GNG_VES_2,AN12B017,
720575941557413284,720575940639088216,23690,720575941557413284,720575940639088216,23690,descending,DNge030,isomorphic,LB12,acetylcholine,dorsal VNC,DNge030,DNut051,
720575941545312005,720575940631225996,11012,720575941545312005,720575940631225996,11012,descending,DNp22,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNp22,DNp22,
720575941631976864,720575940619373703,28942,720575941631976864,720575940619373703,28942,ascending,AN08B018,isomorphic,08B,acetylcholine,lateral brain,AN_AVLP_14,AN08B018,
720575941515969123,720575940631168057,31265,720575941515969123,720575940631168057,31265,descending,DNg60,isomorphic,MD3,gaba,flange median bundle,DNg60,DNg60,
720575941471454583,720575940608735241,12934,720575941471454583,720575940608735241,12934,descending,DNg38,isomorphic,putative_primary,gaba,flange median bundle,DNg38,DNg38,
720575941466022422,720575940631505711,12171,720575941466022422,720575940631505711,12171,ascending,AN18B019,isomorphic,18B,acetylcholine,leg VNC,AN_GNG_WED_3,AN18B019,
720575941534435338,720575940615043368,10916,720575941534435338,720575940615043368,10916,descending,DNp22,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNp22,DNp22,
720575941479889315,720575940627137540,13993,720575941479889315,720575940627137540,13993,ascending,AN06B039,isomorphic,06B,gaba,leg VNC,AN_IPS_GNG_7,AN06B039,
720575941504687810,720575940623274966,28004,720575941504687810,720575940623274966,28004,descending,DNpe037,isomorphic,DM6_central2,acetylcholine,posterior brain,DNpe037,DNxn113,
720575941632167611,720575940641833869,18815,720575941632167611,720575940641833869,18815,descending,DNg73,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNg73,DNg73,
720575941574724361,720575940630054735,18856,720575941574724361,720575940630054735,18856,descending,DNg23,isomorphic,12B_put1,gaba,lateral brain,DNg23,DNg23,
720575941645117304,720575940637659749,25924,720575941645117304,720575940637659749,25924,descending,DNge052,isomorphic,LB5__prim,gaba,leg VNC,DNge052,DNxl070,
720575941554109668,720575940629521655,25709,720575941554109668,720575940629521655,25709,descending,DNg51,isomorphic,LB7,acetylcholine,posterior brain,DNg51,DNg51,
720575941472609632,720575940631844300,14443,720575941472609632,720575940631844300,14443,ascending,AN07B035,isomorphic,07B,acetylcholine,leg VNC,AN_IPS_WED_1,AN07B035,
720575941448026388,720575940630107855,16256,720575941448026388,720575940630107855,16256,ascending,AN17B016,isomorphic,17B,gaba,lateral brain,AN_AVLP_8,AN17B016,
720575941507049239,720575940654094241,30043,720575941507049239,720575940654094241,30043,descending,DNge096,isomorphic,MD3,gaba,flange median bundle,DNge096,DNit008,
720575941477889310,720575940615942924,13372,720575941477889310,720575940615942924,13372,ascending,AN12B019,isomorphic,12B,gaba,leg VNC,AN_multi_15,AN12B019,
720575941477099313,720575940634862943,17494,720575941477099313,720575940634862943,17494,descending,DNge076,isomorphic,putative_primary,gaba,flange median bundle,DNge076,DNfl039,
720575941515074883,720575940617750070,25239,720575941515074883,720575940617750070,25239,descending,DNp39,isomorphic,putative_primary,acetylcholine,leg VNC,DNp39,DNxn169,
720575941626447754,720575940623871015,17183,720575941626447754,720575940623871015,17183,ascending,AN05B044,isomorphic,05B,gaba,leg VNC,AN_multi_21,AN05B044,
720575941614012892,720575940632632607,31377,720575941614012892,720575940632632607,31377,descending,DNg64,isomorphic,MD3,gaba,leg VNC,DNg64,DNxl065,
720575941565351943,720575940638604021,13282,720575941565351943,720575940638604021,13282,ascending,ANXXX169,dimorphic,,glutamate,abdominal VNC,AN_FLA_GNG_1,ANXXX169,
