BANC,cell_type,conf2_fafb_manc_agree,multi_dataset_agree_frac,n_datasets_corroborating
720575941505673566,DNg82,2,1.0,3
720575941607119725,DNge059,2,1.0,3
720575941515969123,DNg60,2,1.0,3
720575941477889310,AN12B019,2,1.0,3
720575941547229620,ANXXX170,2,1.0,3
720575941595190053,AN09B013,2,1.0,3
720575941466194454,DNp04,2,1.0,2
720575941665097203,DNge134,2,1.0,3
720575941527175524,DNg03,2,1.0,3
720575941645117304,DNge052,2,1.0,3
720575941568499502,DNp55,2,1.0,4
720575941525796098,SAch01,1,0.667,3
720575941573054646,AN26X004,1,0.667,3
720575941409214894,DNp25,1,0.667,3
720575941611963309,AN05B063,1,0.5,2
720575941565351943,ANXXX169,1,0.667,3
720575941614012892,DNg64,1,0.667,3
720575941652614129,DNae002,1,0.667,3
720575941477099313,DNge076,1,0.667,3
720575941474665514,DNg106,1,0.667,3
720575941552907838,DNp45,1,0.75,4
720575941507049239,DNge096,1,0.667,3
720575941590752396,AN09B033,1,0.667,3
720575941448026388,AN17B016,1,0.667,3
720575941472609632,AN07B035,1,0.667,3
720575941554109668,DNg51,1,0.667,3
720575941613469916,AN06B015_b,1,0.667,3
720575941435997984,DNge034,1,0.667,3
720575941511336402,DNg04,1,0.667,3
720575941521111223,DNx02,1,0.5,4
720575941543173405,ANXXX433,1,0.5,2
720575941550401086,DNge001,1,0.667,3
720575941442861482,DNge113,1,0.667,3
720575941574724361,DNg23,1,0.667,3
720575941572620446,DNb03,1,0.667,3
720575941437425964,AN17B013,1,0.333,3
720575941579793909,DNge010,1,0.667,3
720575941556199652,DNge115,1,0.667,3
720575941563064071,DNg12_b,1,0.5,2
720575941516800147,DNge002,1,0.667,3
720575941428247800,AN12B089,1,0.5,2
720575941490799157,DNp58,1,0.667,3
720575941392812548,DNp26,1,0.75,4
720575941671658407,DNp104,1,0.667,3
720575941515074883,DNp39,1,0.667,3
720575941596596357,DNpe035,1,0.667,3
720575941411212715,DNg32,1,0.667,3
720575941408820271,AN09B004,1,0.667,3
720575941688133871,DNge046,1,0.667,3
720575941504687810,DNpe037,1,0.667,3
720575941438445330,DNpe032,1,0.667,3
720575941571547912,AN06B034,1,0.667,3
720575941467350237,DNg79,1,0.75,4
720575941552013055,AN09B009,1,0.667,3
720575941496696263,DNp58,1,0.667,3
720575941523106295,DNg14,1,0.667,3
720575941495055486,DNpe001,1,0.667,3
720575941590774924,ANXXX127,1,0.667,3
720575941403931248,ANXXX092,1,0.667,3
720575941540466381,DNp08,1,0.667,3
720575941687586316,ANXXX041,1,0.667,3
720575941545312005,DNp22,1,0.667,3
720575941479889315,AN06B039,1,0.5,2
720575941461494483,DNp64,1,0.667,3
720575941461347027,DNg68,1,0.667,3
720575941486575426,DNge082,1,0.667,3
720575941573266171,DNge054,1,0.667,3
720575941580602869,AN12B017,1,0.667,3
720575941557413284,DNge030,1,0.667,3
720575941408661934,DNpe026,1,0.667,3
720575941527011865,AN05B023,1,0.5,2
720575941466022422,AN18B019,1,0.667,3
720575941565477174,DNde003,0,0.333,3
720575941554888676,DNge111,0,0.5,4
720575941438669653,AN12B055,0,0.0,2
720575941476632385,DNg01,0,0.0,2
720575941502628695,DNp15,0,0.4,5
720575941573370696,DNge019,0,0.0,2
720575941563622759,SAch01,0,0.0,2
720575941540535069,DNge020,0,0.0,2
720575941392665750,SAxx02,0,0.0,2
720575941658542928,AN05B078,0,0.0,2
720575941477006388,DNpe012,0,0.0,2
720575941435983136,AN09B012,0,0.333,3
720575941632167611,DNg73,0,0.333,3
720575941598492457,DNg05_b,0,0.333,3
720575941555160986,SAabg01,0,0.333,3
720575941534435338,DNp22,0,,0
720575941471454583,DNg38,0,0.333,3
720575941631976864,AN08B018,0,0.333,3
720575941626447754,AN05B044,0,0.333,3
720575941578679897,DNpe040,0,0.333,3
720575941535724522,DNge056,0,0.333,3
720575941561414034,ANXXX308,0,0.5,4
720575941481351843,AN27X013,0,0.0,2
720575941472329568,ANXXX308,0,0.5,4
720575941663484028,AN01B005,0,0.333,3
720575941610664621,AN09B033,0,0.333,3
720575941595295783,AN01B005,0,0.333,3
720575941626032074,DNg95,0,0.333,3
720575941568894202,DNp104,0,0.333,3
720575941568835834,DNx02,0,0.333,3
720575941535167320,DNge134,0,0.333,3
720575941436052768,DNg05_b,0,0.0,2
720575941507894366,DNg69,0,0.333,3
720575941558298660,SNxx29,0,0.0,2
720575941557512307,DNg12_a,0,0.0,2
720575941486574598,DNg02_g,0,0.333,3
720575941407465902,SNxx27,0,0.333,3
