BANC,cell_type,super_class,neurotransmitter
720575941519463278,DNg108,descending,gaba
720575941477419828,DNge141,descending,gaba
720575941595376677,DNae007,descending,
720575941564432786,DNge079,descending,gaba
720575941506736956,DNp29,descending,serotonin
720575941569801586,DNpe042,descending,acetylcholine
720575941534881368,DNb08,descending,acetylcholine
720575941496696263,DNp58,descending,acetylcholine
720575941496695751,DNg22,descending,serotonin
720575941552013055,AN09B009,ascending,acetylcholine
720575941569348858,DNge083,descending,glutamate
720575941566364982,DNge122,descending,gaba
720575941515054659,AN17A018,ascending,acetylcholine
720575941526723940,DNp65,descending,gaba
720575941578730841,AN05B101_b,ascending,acetylcholine
720575941450728314,DNge067,descending,gaba
720575941575419401,DNpe049,descending,acetylcholine
720575941535852522,AN06B039,ascending,gaba
720575941492360679,AN05B049,ascending,gaba
720575941555160986,SAabg01,sensory_ascending,acetylcholine
720575941665097203,DNge134,descending,glutamate
720575941574946299,SAabg01,sensory_ascending,serotonin
720575941536037362,SAxx02,sensory_ascending,serotonin
720575941431875832,DNpe007,descending,acetylcholine
720575941496697216,DNp39,descending,acetylcholine
720575941514047052,AN02A002,ascending,glutamate
720575941563622759,SAch01,sensory_ascending,acetylcholine
