BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941573616891,DNp59,descending,16,0.02,114.14
720575941526723940,DNp65,descending,12,0.02,85.57
720575941531996645,DNpe042,descending,12,0.02,85.57
720575941607119725,DNge059,descending,16,0.04,81.45
720575941535861482,AN09B018_d,ascending,11,0.02,78.43
720575941615534489,DNp68,descending,11,0.02,78.43
720575941433595406,ANXXX404,ascending,11,0.02,78.43
720575941652614129,DNae002,descending,10,0.02,71.29
720575941439151378,AN27X017,ascending,10,0.02,71.29
720575941551948543,DNp63,descending,10,0.02,71.29
720575941546513001,DNp70,descending,10,0.02,71.29
720575941529735883,AN06B007_a,ascending,10,0.02,71.29
720575941572671995,DNp59,descending,14,0.04,71.24
720575941487783888,AN09B009,ascending,20,0.1,66.33
720575941440280767,DNa15,descending,13,0.04,66.14
720575941491065653,MDN,descending,9,0.02,64.14
720575941496696263,DNp58,descending,9,0.02,64.14
720575941598950556,DNg27,descending,9,0.02,64.14
720575941432332641,AN05B097,ascending,9,0.02,64.14
720575941546446697,DNg91,descending,9,0.02,64.14
720575941414424977,DNp57,descending,9,0.02,64.14
720575941502736779,AN09B018_d,ascending,15,0.06,62.91
720575941535862506,DNa01,descending,15,0.06,62.91
720575941596082801,AN09B009,ascending,20,0.12,61.18
720575941602323897,DNa04,descending,12,0.04,61.03
720575941564723456,AN05B101,ascending,12,0.04,61.03
720575941688517388,DNg93,descending,22,0.1,60.74
720575941352918576,DNg70,descending,33,0.32,59.91
720575941408568238,DNb08,descending,14,0.06,58.7
720575941569801586,DNpe042,descending,14,0.06,58.7
720575941565477174,DNde003,descending,8,0.02,57.0
720575941526955266,DNge006,descending,8,0.02,57.0
720575941440350293,DNp71,descending,8,0.02,57.0
720575941595376677,DNae007,descending,22,0.18,56.8
720575941514372049,AN09B020,ascending,11,0.04,55.93
720575941439620415,DNpe049,descending,11,0.04,55.93
720575941618895231,DNb01,descending,11,0.04,55.93
720575941570128498,DNa01,descending,18,0.12,55.02
720575941504526386,DNg55,descending,15,0.08,55.0
720575941431875832,DNpe007,descending,13,0.06,54.49
720575941539243669,DNge143,descending,16,0.1,53.0
720575941490416181,DNg93,descending,26,0.28,52.33
720575941663497084,DNa11,descending,17,0.12,51.94
720575941578803025,DNa13,descending,19,0.16,51.39
720575941574933661,DNde005,descending,10,0.04,50.83
720575941514530892,DNp48,descending,10,0.04,50.83
720575941530093752,AN09B023,ascending,12,0.06,50.28
720575941593522283,AN18B001,ascending,7,0.02,49.86
720575941603791350,DNg76,descending,7,0.02,49.86
720575941441805503,AN05B100,ascending,7,0.02,49.86
720575941491761895,DNp102,descending,7,0.02,49.86
720575941528109222,DNg88,descending,36,0.74,49.26
720575941555393537,DNa13,descending,16,0.12,48.87
720575941508517761,AN05B004,ascending,18,0.16,48.66
720575941464350989,AN09B018_c,ascending,15,0.06,48.12
720575941614272531,AN05B099,ascending,13,0.08,47.62
720575941569365242,AN08B012,ascending,11,0.06,46.07
720575941668336883,AN08B023,ascending,17,0.16,45.93
720575941527011865,AN05B023,ascending,9,0.04,45.72
720575941452767047,AN09B020,ascending,9,0.04,45.72
720575941652633585,DNae002,descending,9,0.04,45.72
720575941472178752,DNp70,descending,9,0.04,45.72
720575941477392926,DNge042,descending,9,0.04,45.72
720575941574768392,AN10B015_a,ascending,9,0.04,45.72
720575941401766435,DNbe007,descending,9,0.04,45.72
720575941449983581,DNg15,descending,9,0.04,45.72
720575941625972123,DNae003,descending,9,0.04,45.72
720575941458813680,AN05B004,ascending,16,0.1,44.1
720575941566364982,DNge122,descending,19,0.18,43.45
720575941450378333,DNp103,descending,20,0.22,43.0
720575941471405664,SNxx29,sensory_ascending,6,0.02,42.71
720575941515630947,DNp12,descending,6,0.02,42.71
720575941687408623,AN06B040,ascending,6,0.02,42.71
720575941542458204,AN17B005,ascending,6,0.02,42.71
720575941450728314,DNge067,descending,6,0.02,42.71
720575941626256266,DNge131,descending,6,0.02,42.71
720575941504090162,DNae001,descending,6,0.02,42.71
720575941614012892,DNg64,descending,6,0.02,42.71
720575941511336402,DNg04,descending,6,0.02,42.71
720575941440355157,AN06B007_a,ascending,6,0.02,42.71
720575941687585036,ANXXX027,ascending,6,0.02,42.71
720575941688189935,DNb01,descending,14,0.12,42.71
720575941580119541,AN23B010,ascending,6,0.02,42.71
720575941660948348,DNg40,descending,6,0.02,42.71
720575941478429802,DNg70,descending,23,0.22,42.19
720575941416830748,AN05B101,ascending,10,0.06,41.85
720575941559017252,AN17A012,ascending,10,0.06,41.85
720575941518794668,DNge106,descending,10,0.06,41.85
720575941548655496,DNge104,descending,14,0.08,41.3
720575941633206944,DNp103,descending,16,0.18,41.18
720575941515872003,DNp56,descending,8,0.04,40.62
720575941496011719,DNa16,descending,8,0.04,40.62
720575941474126944,DNp34,descending,8,0.04,40.62
720575941612044518,DNa04,descending,8,0.04,40.62
720575941404748144,DNge106,descending,8,0.04,40.62
720575941535241409,AN17A076,ascending,8,0.04,40.62
720575941431062959,AN01B002,ascending,8,0.04,40.62
720575941507568709,DNa16,descending,8,0.04,40.62
720575941578730841,AN05B101_b,ascending,21,0.24,40.53
720575941461347027,DNg68,descending,17,0.16,40.32
720575941515668995,AN09B020,ascending,11,0.08,40.25
720575941519453550,DNpe056,descending,11,0.08,40.25
720575941542885661,DNg84,descending,13,0.12,39.64
720575941575419401,DNpe049,descending,13,0.12,39.64
720575941558599972,DNpe053,descending,16,0.2,39.5
720575941598469276,DNg68,descending,17,0.18,38.83
720575941491157454,AN08B012,ascending,9,0.06,37.64
720575941655820244,DNg21,descending,9,0.06,37.64
720575941510475536,DNa02,descending,9,0.06,37.64
720575941631013090,DNge035,descending,9,0.06,37.64
720575941473933664,DNge104,descending,13,0.14,37.06
720575941470033117,DNbe003,descending,10,0.08,36.57
720575941555504467,DNge127,descending,10,0.08,36.57
720575941566132119,DNg22,descending,17,0.22,36.48
720575941528320952,DNg88,descending,28,0.5,36.42
720575941545432425,DNb08,descending,11,0.1,36.33
720575941571900488,AN09B023,ascending,11,0.1,36.33
720575941534881368,DNb08,descending,11,0.1,36.33
720575941519462766,DNg104,descending,11,0.1,36.33
720575941513798097,DNge007,descending,14,0.18,35.97
720575941480917187,DNge069,descending,5,0.02,35.57
720575941579749365,AN06A015,ascending,5,0.02,35.57
720575941586455774,ANXXX033,ascending,5,0.02,35.57
720575941624461564,AN08B027,ascending,5,0.02,35.57
720575941681075389,ANXXX026,ascending,5,0.02,35.57
720575941537703144,DNg04,descending,5,0.02,35.57
720575941519656814,DNde002,descending,5,0.02,35.57
720575941655534804,AN07B024,ascending,5,0.02,35.57
720575941576254134,DNge080,descending,5,0.02,35.57
720575941617642965,AN18B023,ascending,5,0.02,35.57
720575941480714626,AN12A003,ascending,5,0.02,35.57
720575941470195723,DNae008,descending,5,0.02,35.57
720575941595295783,AN01B005,ascending,5,0.02,35.57
720575941576562792,DNge075,descending,5,0.02,35.57
720575941568870770,DNa10,descending,5,0.02,35.57
720575941555321601,ANXXX102,ascending,5,0.02,35.57
720575941415707420,DNg24,descending,5,0.02,35.57
720575941504921906,DNp47,descending,5,0.02,35.57
720575941612667238,AN05B098,ascending,5,0.02,35.57
720575941668463347,AN05B102,ascending,5,0.02,35.57
720575941438465298,DNb04,descending,5,0.02,35.57
720575941540215501,DNp01,descending,7,0.04,35.52
720575941476477492,DNae010,descending,7,0.04,35.52
720575941536048321,DNge078,descending,7,0.04,35.52
720575941448093972,AN12A003,ascending,7,0.04,35.52
720575941526946562,DNa11,descending,19,0.28,35.28
720575941546668988,DNpe053,descending,19,0.3,34.73
720575941542749788,AN08B012,ascending,12,0.14,34.18
720575941525186818,DNge143,descending,12,0.14,34.18
720575941628636217,ANXXX027,ascending,11,0.12,33.48
720575941613532892,DNpe030,descending,11,0.12,33.48
720575941477915700,DNp48,descending,11,0.12,33.48
720575941507249221,DNg109,descending,8,0.06,33.43
720575941564715264,ANXXX139,ascending,8,0.06,33.43
720575941644554184,DNge065,descending,8,0.06,33.43
720575941560268270,AN05B101_b,ascending,14,0.16,33.14
720575941531488971,DNbe003,descending,10,0.1,33.0
720575941486437954,DNg108,descending,10,0.1,33.0
720575941563218944,DNae010,descending,9,0.08,32.88
720575941578601049,AN05B097,ascending,9,0.08,32.88
720575941539226866,DNp63,descending,9,0.08,32.88
720575941554952858,DNge053,descending,19,0.4,32.88
720575941652728049,DNg74_a,descending,23,0.62,32.45
720575941541271325,DNg78,descending,11,0.08,32.4
720575941439563583,DNge053,descending,19,0.32,32.15
720575941496695751,DNg22,descending,15,0.16,32.05
720575941653831185,DNae005,descending,14,0.18,31.91
720575941652085745,DNae007,descending,11,0.14,31.3
720575941411441323,DNae009,descending,11,0.14,31.3
